0,10000107,20000005,30000071,40000039,50000022,60000000,70000048,80000057,90000062,100000009,110000100,120000012,130000001
1,10000010,20000001,30000007,40000004,50000001,60000000,70000005,80000005,90000004,100000001,110000009,120000002,130000000
2,10000089,20000009,30000047,40000043,50000076,60000004,70000029,80000052,90000117,100000051,110000073,120000023,130000015
3,10000022,20000002,30000014,40000009,50000011,60000000,70000010,80000011,90000023,100000006,110000018,120000006,130000000
4,10000055,20000000,30000030,40000022,50000030,60000001,70000019,80000029,90000056,100000016,110000044,120000011,130000000
5,10000014,20000004,30000010,40000007,50000008,60000001,70000008,80000008,90000016,100000003,110000011,120000006,130000001
6,10000009,20000000,30000007,40000002,50000001,60000000,70000004,80000004,90000005,100000001,110000009,120000000,130000000
7,10000097,20000003,30000048,40000044,50000075,60000003,70000034,80000050,90000129,100000032,110000080,120000021,130000001
8,10000011,20000003,30000006,40000007,50000011,60000000,70000005,80000007,90000017,100000005,110000007,120000007,130000001
9,10000011,20000002,30000009,40000003,50000006,60000000,70000006,80000006,90000009,100000001,110000010,120000003,130000001
10,10000009,20000002,30000005,40000005,50000006,60000000,70000004,80000005,90000012,100000004,110000007,120000003,130000000
11,10000043,20000005,30000026,40000019,50000027,60000001,70000018,80000023,90000054,100000011,110000036,120000011,130000005
12,10000010,20000002,30000008,40000005,50000002,60000000,70000006,80000006,90000007,100000002,110000009,120000003,130000001
13,10000041,20000008,30000019,40000025,50000044,60000001,70000013,80000024,90000086,100000029,110000030,120000019,130000000
14,10000009,20000004,30000009,40000004,50000002,60000000,70000007,80000005,90000005,100000000,110000009,120000004,130000000
15,10000066,20000007,30000040,40000031,50000031,60000000,70000021,80000043,90000068,100000021,110000054,120000019,130000004
16,10000009,20000001,30000005,40000003,50000007,60000000,70000004,80000004,90000009,100000005,110000007,120000002,130000000
17,10000008,20000000,30000004,40000003,50000006,60000000,70000003,80000004,90000007,100000005,110000007,120000002,130000000
18,10000673,20000002,30000370,40000267,50000359,60000026,70000254,80000336,90000634,100000217,110000573,120000102,130000002
19,10000102,20000000,30000040,40000054,50000085,60000002,70000026,80000053,90000170,100000059,110000079,120000023,130000000
20,10000016,20000003,30000013,40000006,50000005,60000000,70000009,80000009,90000011,100000003,110000015,120000004,130000000
21,10000164,20000040,30000103,40000090,50000108,60000004,70000071,80000107,90000197,100000064,110000150,120000054,130000003
22,10000011,20000002,30000007,40000005,50000007,60000000,70000003,80000008,90000015,100000003,110000008,120000004,130000003
23,10000168,20000012,30000104,40000068,50000075,60000003,70000074,80000088,90000143,100000036,110000144,120000034,130000013
24,10000050,20000019,30000033,40000032,50000045,60000001,70000026,80000033,90000076,100000029,110000045,120000023,130000007
25,10000013,20000004,30000008,40000007,50000012,60000000,70000006,80000008,90000017,100000006,110000011,120000006,130000000
26,10000009,20000002,30000006,40000004,50000003,60000000,70000004,80000006,90000009,100000001,110000008,120000002,130000000
27,10000101,20000001,30000046,40000046,50000094,60000004,70000030,80000054,90000117,100000061,110000081,120000021,130000000
28,10000012,20000002,30000010,40000004,50000003,60000000,70000007,80000007,90000009,100000001,110000011,120000003,130000001
29,10000055,20000020,30000032,40000034,50000079,60000005,70000026,80000036,90000094,100000035,110000033,120000041,130000004
30,10000049,20000000,30000015,40000024,50000085,60000006,70000010,80000021,90000106,100000062,110000018,120000029,130000014
31,10000595,20000010,30000369,40000211,50000227,60000012,70000256,80000287,90000478,100000138,110000526,120000077,130000009
32,10000058,20000026,30000042,40000037,50000057,60000004,70000029,80000043,90000085,100000045,110000032,120000053,130000002
33,10000015,20000001,30000009,40000006,50000008,60000000,70000006,80000007,90000013,100000003,110000013,120000003,130000000
34,10000014,20000004,30000009,40000008,50000012,60000001,70000005,80000010,90000021,100000009,110000011,120000007,130000000
35,10000006,20000001,30000004,40000003,50000005,60000000,70000002,80000004,90000007,100000002,110000003,120000004,130000001
36,10000670,20000017,30000406,40000250,50000294,60000009,70000285,80000331,90000543,100000164,110000602,120000084,130000006
37,10000344,20000018,30000196,40000143,50000225,60000012,70000132,80000185,90000339,100000118,110000307,120000055,130000001
38,10000003,20000002,30000003,40000002,50000001,60000000,70000002,80000003,90000003,100000000,110000003,120000002,130000000
39,10000021,20000005,30000016,40000009,50000008,60000000,70000010,80000013,90000024,100000003,110000017,120000008,130000002
40,10000007,20000003,30000005,40000004,50000008,60000000,70000003,80000004,90000016,100000004,110000005,120000005,130000003
41,10000027,20000003,30000010,40000017,50000024,60000002,70000007,80000016,90000046,100000011,110000023,120000006,130000000
42,10000025,20000001,30000013,40000011,50000018,60000000,70000009,80000013,90000031,100000010,110000020,120000006,130000000
43,10000121,20000012,30000061,40000061,50000109,60000006,70000039,80000071,90000181,100000057,110000097,120000037,130000002
44,10000206,20000008,30000078,40000100,50000314,60000032,70000052,80000099,90000388,100000234,110000124,120000089,130000000
45,10000004,20000001,30000003,40000002,50000000,60000000,70000002,80000003,90000003,100000000,110000003,120000002,130000000
46,10000303,20000007,30000188,40000111,50000102,60000003,70000132,80000148,90000243,100000058,110000271,120000039,130000003
