1,10,20,30,40,50,88
2,11,21,31,42,51,80
2,12,21,30,42,50,82
2,13,21,30,40,52,88
2,12,21,31,40,50,77
1,12,21,30,42,53,73
1,14,20,31,41,51,80
1,13,21,30,40,50,84
1,11,20,34,40,54,88
1,14,21,30,40,52,88
1,10,20,33,42,53,88
1,15,21,32,40,54,73
1,15,20,33,40,52,80
2,15,20,30,42,52,84
1,11,21,30,41,54,73
1,12,21,30,42,54,88
2,14,20,30,40,52,88
1,11,21,31,40,50,84
1,11,21,34,40,53,85
1,15,20,30,40,52,84
1,11,21,30,40,52,82
1,11,21,33,42,51,84
2,12,21,32,41,51,85
1,11,20,30,41,51,73
2,15,21,33,42,54,73
1,15,21,34,40,52,85
2,11,20,32,41,52,61
2,10,21,30,40,52,73
2,11,20,33,40,50,88
2,12,21,32,42,53,61
2,13,20,33,40,54,80
2,12,20,30,40,50,88
1,12,21,30,42,54,84
1,14,21,33,41,54,80
1,13,20,32,42,54,61
1,11,21,30,40,53,77
1,14,21,33,40,54,84
1,10,20,34,42,52,88
1,15,20,32,41,52,84
1,15,20,30,41,54,88
1,15,20,30,42,53,84
1,11,21,30,40,54,80
1,12,20,31,41,52,61
1,14,21,34,40,52,82
2,11,20,30,40,54,60
2,11,20,30,42,51,88
1,15,21,33,42,51,60
2,11,21,32,40,51,88
1,11,20,30,40,54,88
1,12,21,33,42,52,88
1,11,21,34,40,52,85
1,15,20,32,41,52,73
1,15,21,30,42,50,84
1,11,21,33,40,53,77
2,10,20,32,41,54,84
1,11,21,33,40,50,85
2,12,21,30,40,54,73
1,13,20,30,42,54,77
2,12,21,32,41,54,84
1,12,20,30,41,52,88
2,14,21,33,40,52,73
2,13,20,34,40,52,84
2,11,20,32,42,50,84
2,14,21,30,40,54,85
1,10,21,30,40,52,73
1,15,20,30,42,52,73
2,15,21,31,41,52,80
2,15,20,32,42,50,60
1,11,20,30,40,53,85
1,12,21,33,40,52,60
1,14,20,34,42,52,84
1,11,21,34,40,52,88
2,11,20,32,40,50,84
2,15,20,30,42,53,88
1,11,21,33,40,53,88
1,11,21,32,40,53,88
2,12,20,32,40,53,73
2,11,20,32,41,53,85
2,15,21,33,42,53,77
2,15,20,33,40,52,79
1,11,21,33,41,52,74
2,10,20,32,40,50,88
1,11,21,34,40,50,80
1,12,21,32,40,50,60
2,13,21,30,42,50,61
2,12,21,33,40,54,88
2,12,20,32,40,54,85
1,14,21,34,42,52,82
1,13,21,34,40,52,77
1,11,20,32,41,52,77
1,14,21,30,41,52,85
2,10,20,33,42,52,61
1,15,21,32,40,54,85
2,15,20,32,41,51,61
1,15,20,30,40,51,82
2,11,21,33,40,52,61
1,12,21,32,42,52,88
1,14,20,30,42,54,74
1,11,21,33,40,51,85
2,14,20,31,42,51,80
